name,latitude,longitude
Maria Cristina Falls,8.1831463,124.1934719
Tinago Falls,8.1592735,124.1838038
Limunsudan Falls,8.1124124,124.5215206
Mimbalut Falls,8.1803653,124.1681912
Dodiongan Falls,8.2719241,124.3112591
Guimbalolan Falls,8.0774576,123.9058969
Kamadahan Falls,8.265048,124.417448
Pindarangahan Falls,8.278638,124.471006
Gata Falls,8.173982,124.514951
Kibalang Falls,8.233789,124.466886
Rogongon Falls,8.159697,124.330975
Dalipuga Falls,8.3095527,124.2731664
Kalubihon Falls,8.3018145,124.2707911
Langilanon Falls,8.2247629,124.2717538
Hindang Falls,8.306556,124.2102068
Pampam Falls,8.3090837,124.2760381
Languyon Falls,8.20875,124.30893
Linanot Falls,8.2991226,124.3108338
Malinao Falls,8.2875981,124.3033073
Bridal Veil Falls,8.181028,124.161089
Abaga Falls,8.1524134,124.0867782
Malaigang Falls,8.2618602,124.3013004
Malapacan Falls,8.2966859,124.3608139
